method,level,mean_accuracy,mean_nli,mean_C2,mean_cosine,cells
Caveman (POS filter),L1,0.5340231536058,0.4586824249696688,0.2711356748578557,0.0,20895
Caveman (POS filter),L2,0.21507228054503466,0.2669655507675499,0.14465825956288414,0.0,20895
LLMLingua (τ=0.5),LLMLingua,0.15373589680988678,0.24639010296989472,0.08348035604232686,0.7765800186112377,20635
LLMLingua (τ=0.8),LLMLingua_t0.8,0.44553808236522413,0.3846245187381439,0.22330911345866844,0.898023444512477,6965
