method,model,dataset,level,n,accuracy,nli_rate,cosine_mean,C1,C2,C3,C4
Caveman (POS filter),gpt4o,arc_easy,L1,2376,0.3888888888888889,0.30134680134680136,0.0,0.1275252525252525,0.26136363636363635,0.17382154882154882,0.4372895622895623
Caveman (POS filter),gpt4o,arc_easy,L2,2376,0.18897306397306396,0.15446127946127947,0.0,0.03956228956228956,0.1494107744107744,0.1148989898989899,0.6961279461279462
LLMLingua (τ=0.5),gpt4o,arc_easy,LLMLingua,2376,0.07449494949494949,0.12037037037037036,0.6880926195286196,0.013468013468013467,0.06102693602693603,0.1069023569023569,0.8186026936026936
Caveman (POS filter),gpt4o,boolq,L1,3270,0.7406727828746177,0.3562691131498471,0.0,0.26513761467889907,0.47553516819571867,0.09113149847094801,0.16819571865443425
Caveman (POS filter),gpt4o,boolq,L2,3270,0.3565749235474006,0.1636085626911315,0.0,0.05596330275229358,0.30061162079510706,0.10764525993883792,0.5357798165137615
LLMLingua (τ=0.5),gpt4o,boolq,LLMLingua,3270,0.10091743119266056,0.12048929663608562,0.764129574617737,0.013761467889908258,0.0871559633027523,0.10672782874617737,0.7923547400611621
Caveman (POS filter),gpt4o,gsm8k,L1,1319,0.7437452615617892,0.8097043214556482,0.0,0.6292645943896892,0.11448066717210008,0.18043972706595907,0.0758150113722517
Caveman (POS filter),gpt4o,gsm8k,L2,1319,0.221379833206975,0.5496588324488249,0.0,0.16906747536012132,0.052312357846853674,0.38059135708870356,0.3980288097043215
LLMLingua (τ=0.5),gpt4o,gsm8k,LLMLingua,1319,0.35178165276724793,0.5678544351781653,0.8734699257012888,0.266868840030326,0.08491281273692192,0.3009855951478393,0.34723275208491283
Caveman (POS filter),qwen2.5,arc_easy,L1,2376,0.38257575757575757,0.23063973063973064,0.0,0.08417508417508418,0.2984006734006734,0.14646464646464646,0.47095959595959597
Caveman (POS filter),qwen2.5,arc_easy,L2,2376,0.18981481481481483,0.10732323232323232,0.0,0.020622895622895623,0.1691919191919192,0.0867003367003367,0.7234848484848485
LLMLingua (τ=0.5),qwen2.5,arc_easy,LLMLingua,2376,0.06860269360269361,0.09848484848484848,0.7374808855218855,0.010101010101010102,0.0585016835016835,0.08838383838383838,0.843013468013468
LLMLingua (τ=0.8),qwen2.5,arc_easy,LLMLingua_t0.8,2376,0.2058080808080808,0.1994949494949495,0.8755173859427609,0.03956228956228956,0.16624579124579125,0.15993265993265993,0.6342592592592593
Caveman (POS filter),qwen2.5,boolq,L1,3270,0.609480122324159,0.22813455657492354,0.0,0.13516819571865443,0.4743119266055046,0.09296636085626911,0.2975535168195719
Caveman (POS filter),qwen2.5,boolq,L2,3270,0.15871559633027524,0.10795107033639144,0.0,0.01651376146788991,0.14220183486238533,0.09143730886850153,0.7498470948012232
LLMLingua (τ=0.5),qwen2.5,boolq,LLMLingua,3224,0.062034739454094295,0.10235732009925558,0.7243555127171216,0.007444168734491315,0.05459057071960298,0.09491315136476426,0.8430521091811415
LLMLingua (τ=0.8),qwen2.5,boolq,LLMLingua_t0.8,3270,0.4666666666666667,0.22048929663608563,0.8840064070336391,0.10703363914373089,0.3596330275229358,0.11345565749235474,0.41987767584097857
Caveman (POS filter),qwen2.5,gsm8k,L1,1319,0.467778620166793,0.7119029567854435,0.0,0.37225170583775585,0.09552691432903715,0.33965125094768767,0.19257012888551933
Caveman (POS filter),qwen2.5,gsm8k,L2,1319,0.08946171341925702,0.4488248673237301,0.0,0.060652009097801364,0.02880970432145565,0.38817285822592873,0.5223654283548143
LLMLingua (τ=0.5),qwen2.5,gsm8k,LLMLingua,1319,0.19484457922668688,0.47536012130401817,0.8492507695223654,0.12736921910538287,0.06747536012130402,0.3479909021986353,0.45716451857467777
LLMLingua (τ=0.8),qwen2.5,gsm8k,LLMLingua_t0.8,1319,0.6641394996209249,0.7338893100833965,0.9345465405610311,0.5200909780136467,0.14404852160727824,0.2137983320697498,0.12206216830932524
Caveman (POS filter),sonnet,arc_easy,L1,2376,0.2916666666666667,0.4351851851851852,0.0,0.132996632996633,0.15867003367003368,0.3021885521885522,0.40614478114478114
Caveman (POS filter),sonnet,arc_easy,L2,2376,0.08838383838383838,0.26304713804713803,0.0,0.030303030303030304,0.05808080808080808,0.23274410774410775,0.6788720538720538
LLMLingua (τ=0.5),sonnet,arc_easy,LLMLingua,2227,0.057925460260440056,0.16479568926807364,0.7577290246969016,0.01661427929950606,0.041311180960933995,0.14818140996856757,0.7938931297709924
Caveman (POS filter),sonnet,boolq,L1,3270,0.7697247706422018,0.44464831804281346,0.0,0.3525993883792049,0.41712538226299695,0.09204892966360856,0.1382262996941896
Caveman (POS filter),sonnet,boolq,L2,3270,0.38685015290519875,0.24617737003058104,0.0,0.10305810397553516,0.2837920489296636,0.14311926605504588,0.47003058103975537
LLMLingua (τ=0.5),sonnet,boolq,LLMLingua,3205,0.2031201248049922,0.187207488299532,0.7350403297971918,0.03868954758190327,0.16443057722308893,0.1485179407176287,0.6483619344773791
Caveman (POS filter),sonnet,gsm8k,L1,1319,0.4116755117513268,0.6103108415466262,0.0,0.266868840030326,0.14480667172100076,0.3434420015163002,0.244882486732373
Caveman (POS filter),sonnet,gsm8k,L2,1319,0.25549658832448824,0.3616376042456406,0.0,0.1379833206974981,0.11751326762699014,0.22365428354814254,0.5208491281273692
LLMLingua (τ=0.5),sonnet,gsm8k,LLMLingua,1319,0.2699014404852161,0.38059135708870356,0.8596715253980287,0.1379833206974981,0.13191811978771797,0.24260803639120546,0.4874905231235785
