scope,n_models,n_items_total,original_c2_rate_micro,length_controlled_c2_rate_micro,delta_c2_lc_minus_orig,original_bidir_rate_micro,length_controlled_bidir_rate_micro
all_7_models,7,80255,0.4151517039436795,0.6228895395925488,0.20773783564886927,0.3864556725437667,0.15752289576973397
5_non_reasoning,5,57325,0.5220758831225469,0.8085826428259921,0.2865067597034452,0.39724378543392935,0.08258177060619276
