condition,level,nli_rate,cosine_mean,bertscore_mean,bart_rate,sts_mean,qa_score_mean,answer_entail_rate,deberta_large_rate,minicheck_rate,xnli_rate,mpnet_mean,qwen32b_yes_rate,qwen32b_unk_rate,reliability
A,L1,0.4106666666666667,0.887393066666666,0.9127946662505468,0.2094857142857142,0.1444889572428379,0.1318689130589322,0.3961904761904762,0.6725142857142857,0.3813142857142857,0.3671428571428571,0.8979632,0.6175496688741722,0.6548571428571428,ROBUST
A,L2,0.2586666666666666,0.7899053000000016,0.8783795389135679,0.1264,0.1338251954561897,0.094296605037227,0.2245714285714285,0.4860571428571428,0.1904,0.2558285714285714,0.79719377,0.2767857142857143,0.648,MODERATE
A,L3,0.1696666666666666,0.6956620333333348,0.8572278318603833,0.0808,0.1246803204774537,0.0636895268474215,0.1040952380952381,0.3735428571428571,0.1146857142857142,0.1984571428571428,0.7014097,0.13996889580093314,0.6325714285714286,UNCERTAIN
A,L4,0.1256666666666666,0.4278372333333339,0.8271018478075663,0.0674857142857142,0.1102103073113305,0.0414273558817272,0.0412380952380952,0.2037714285714285,0.1534285714285714,0.1590285714285714,0.44633558,0.07377706495589414,0.6437142857142857,UNRELIABLE
B,L1,0.4326666666666666,0.7520766333333322,0.8677771792213123,0.2777142857142857,0.1283825272798538,0.29226342292852,0.6132380952380952,0.5403428571428571,0.3875428571428571,0.3806857142857143,0.7905344,0.5943482224247949,0.6865714285714286,ROBUST
B,L2,0.4353333333333333,0.7199554666666674,0.852920012831688,0.2468,0.1292719288265705,0.2608901980036,0.5727619047619048,0.5034285714285714,0.3802857142857143,0.3704571428571429,0.7562133,0.5162708883025505,0.6751428571428572,MODERATE
B,L3,0.3996666666666666,0.7259347333333339,0.8537388456861178,0.2285142857142857,0.1288724479799611,0.2405772939753522,0.5162857142857142,0.4924571428571428,0.3304571428571428,0.3499428571428571,0.7486441,0.5050590219224284,0.6611428571428571,UNCERTAIN
B,L4,0.316,0.2878062333333337,0.8256263512770335,0.3287428571428571,0.1164959758778874,0.1573401400615223,0.4565714285714286,0.3294857142857142,0.5818857142857143,0.3162857142857143,0.34004053,0.20297462817147857,0.6734285714285714,UNRELIABLE
